Question Type;Question Title;Question Category;Questions Image;Option Match 1;Option 1 Question;Question  Explanation;Option Match 2;Option 2 Question;Question Explanation;Option Match 3;Option 3 Question;Question Explanation;Option Match 4;Option 4 Question;Question Explanation;Option Match 5;Option 5 Question;Question Explanation;Show correct answer;Passing grade (%);Points total cut after re-take (%);Randomize questions;Quiz Title;Quiz Content;Quiz Frontend description;Quiz Featured Image;Quiz Duration;Duration Mesures (Minutes/ Hours/Days);Course Name;Section Name;Relevant IDs
item_match;Who among the following had written the Novel “Ode to Liberty” ?;History;URL or ID;Leo Tolstoy;1798;Optional Explanation ;Fyodor Dostoyevsky;1985;Optional Explanation ;Alexander Pushkin;652;Optional Explanation ;Sergei Lvovich Pushkin;1893;Optional Explanation ;None of these;1756;Optional Explanation ;Yes;65;5;Yes;History Quiz;This is demo quiz content;This is front end quiz description;https://larasoftbd.net/wp-content/uploads/2014/12/gdi-illustrator-vs-coreldraw.jpg;10;Minutes;History Course;Photography History;2, 6, 18
item_match;Alexander Pushkin was born on;History;URL or ID;6th June 1799;1799;Optional Explanation ;6 June 1871;1986;Optional Explanation ;6 June 1894;653;Optional Explanation ;6 June 1893;1894;Optional Explanation ;None of these;1756;Optional Explanation ;Yes;65;5;Yes;History Quiz;This is demo quiz content;This is front end quiz description;https://larasoftbd.net/wp-content/uploads/2014/12/gdi-illustrator-vs-coreldraw.jpg;10;Minutes;History Course;Photography History;2, 6, 19
item_match;"When did United Nations was proclaimed ""Russian Language Day"" ?";History;URL or ID;2009;1800;Optional Explanation ;2010;1987;Optional Explanation ;2012;654;Optional Explanation ;2011;1895;Optional Explanation ;None of these;1756;Optional Explanation ;Yes;65;5;Yes;History Quiz;This is demo quiz content;This is front end quiz description;https://larasoftbd.net/wp-content/uploads/2014/12/gdi-illustrator-vs-coreldraw.jpg;10;Minutes;History Course;Photography History;2, 6, 20
item_match;"Why do UN celebrate ""Russian Language Day"" ?";History;URL or ID;Birth Day of Sergei Lvovich Pushkin;1801;Optional Explanation ;Birth Day of Alexander Pushkin;1988;Optional Explanation ;Birth Day of Nadezhda Gannibalova;655;Optional Explanation ;None of these;1896;Optional Explanation ;None of these;1756;Optional Explanation ;Yes;65;5;Yes;History Quiz;This is demo quiz content;This is front end quiz description;https://larasoftbd.net/wp-content/uploads/2014/12/gdi-illustrator-vs-coreldraw.jpg;10;Minutes;History Course;Photography History;2, 6, 21
item_match;Alexander Pushkin was born in;History;URL or ID;Rome;1802;Optional Explanation ;New York City;1989;Optional Explanation ;Paris;656;Optional Explanation ;Moscow;1897;Optional Explanation ;None of these;1756;Optional Explanation ;Yes;65;5;Yes;History Quiz;This is demo quiz content;This is front end quiz description;https://larasoftbd.net/wp-content/uploads/2014/12/gdi-illustrator-vs-coreldraw.jpg;10;Minutes;History Course;Photography History;2, 6, 22
item_match;In 1820, he published his first long poem. It was;History;URL or ID;Ode to Liberty;1803;Optional Explanation ;Cawcazskiy plennik;1990;Optional Explanation ;Ruslan and Ludmila;657;Optional Explanation ;Bratia razboyniki;1898;Optional Explanation ;None of these;1756;Optional Explanation ;Yes;65;5;Yes;History Quiz;This is demo quiz content;This is front end quiz description;https://larasoftbd.net/wp-content/uploads/2014/12/gdi-illustrator-vs-coreldraw.jpg;10;Minutes;History Course;Photography History;2, 6, 23
item_match;Pushkin published his first poem at the age of ;History;URL or ID;15;1804;Optional Explanation ;17;1991;Optional Explanation ;18;658;Optional Explanation ;19;1899;Optional Explanation ;None of these;1756;Optional Explanation ;Yes;65;5;Yes;History Quiz;This is demo quiz content;This is front end quiz description;https://larasoftbd.net/wp-content/uploads/2014/12/gdi-illustrator-vs-coreldraw.jpg;10;Minutes;History Course;Photography History;2, 6, 18
item_match;Who among the following had written the Novel “Ode to Liberty” ?;History;URL or ID;Leo Tolstoy;1805;Optional Explanation ;Fyodor Dostoyevsky;1992;Optional Explanation ;Alexander Pushkin;659;Optional Explanation ;Sergei Lvovich Pushkin;1900;Optional Explanation ;None of these;1756;Optional Explanation ;Yes;65;5;Yes;History Quiz;This is demo quiz content;This is front end quiz description;https://larasoftbd.net/wp-content/uploads/2014/12/gdi-illustrator-vs-coreldraw.jpg;10;Minutes;History Course;Photography History;2, 6, 18
item_match;Alexander Pushkin was born on;History;URL or ID;7th June 1799;1806;Optional Explanation ;7 June 1871;1993;Optional Explanation ;7 June 1894;660;Optional Explanation ;7 June 1893;1901;Optional Explanation ;None of these;1756;Optional Explanation ;Yes;65;5;Yes;History Quiz;This is demo quiz content;This is front end quiz description;https://larasoftbd.net/wp-content/uploads/2014/12/gdi-illustrator-vs-coreldraw.jpg;10;Minutes;History Course;Photography History;2, 6, 19
item_match;"When did United Nations was proclaimed ""Russian Language Day"" ?";History;URL or ID;2009;1807;Optional Explanation ;2010;1994;Optional Explanation ;2012;661;Optional Explanation ;2011;1902;Optional Explanation ;None of these;1756;Optional Explanation ;Yes;65;5;Yes;History Quiz;This is demo quiz content;This is front end quiz description;https://larasoftbd.net/wp-content/uploads/2014/12/gdi-illustrator-vs-coreldraw.jpg;10;Minutes;History Course;Photography History;2, 6, 20
item_match;"Why do UN celebrate ""Russian Language Day"" ?";History;URL or ID;Birth Day of Sergei Lvovich Pushkin;1808;Optional Explanation ;Birth Day of Alexander Pushkin;1995;Optional Explanation ;Birth Day of Nadezhda Gannibalova;662;Optional Explanation ;None of these;1903;Optional Explanation ;None of these;1756;Optional Explanation ;Yes;65;5;Yes;History Quiz;This is demo quiz content;This is front end quiz description;https://larasoftbd.net/wp-content/uploads/2014/12/gdi-illustrator-vs-coreldraw.jpg;10;Minutes;History Course;Photography History;2, 6, 21
item_match;Alexander Pushkin was born in;History;URL or ID;Rome;1809;Optional Explanation ;New York City;1996;Optional Explanation ;Paris;663;Optional Explanation ;Moscow;1904;Optional Explanation ;None of these;1756;Optional Explanation ;Yes;65;5;Yes;History Quiz;This is demo quiz content;This is front end quiz description;https://larasoftbd.net/wp-content/uploads/2014/12/gdi-illustrator-vs-coreldraw.jpg;10;Minutes;History Course;Photography History;2, 6, 22
item_match;In 1820, he published his first long poem. It was;History;URL or ID;Ode to Liberty;1810;Optional Explanation ;Cawcazskiy plennik;1997;Optional Explanation ;Ruslan and Ludmila;664;Optional Explanation ;Bratia razboyniki;1905;Optional Explanation ;None of these;1756;Optional Explanation ;Yes;65;5;Yes;History Quiz;This is demo quiz content;This is front end quiz description;https://larasoftbd.net/wp-content/uploads/2014/12/gdi-illustrator-vs-coreldraw.jpg;10;Minutes;History Course;Photography History;2, 6, 23
